City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
494,siem reap,13.5,104.0,31.19,59,70,0.81,KH,1731467483
495,prince rupert,54.3161,-130.3201,5.85,89,100,3.22,CA,1731467484
496,berdigestyakh,62.0989,126.6992,-16.29,92,69,1.96,RU,1731467485
497,doctor arroyo,23.6667,-100.1833,17.99,51,0,3.39,MX,1731467487
498,dunedin,-45.8742,170.5036,14.89,78,32,2.24,NZ,1731467488
499,quellon,-43.1167,-73.6167,9.99,93,82,2.38,CL,1731467489
500,petauke,-14.2426,31.3253,20.24,80,67,2.09,ZM,1731467490
501,castelldefels,41.2779,1.9703,11.75,68,75,3.6,ES,1731467491
502,kismayo,-0.3582,42.5454,26.38,80,78,1.62,SO,1731467492
503,sen monorom,12.45,107.2,24.73,83,100,1.03,KH,1731467493
504,turkeli,41.9476,34.3386,13.51,77,99,0.92,TR,1731467494
505,warmbad,-28.45,18.7333,16.03,32,0,1.53,,1731467495
506,ruidoso,33.3317,-105.673,10.08,26,0,6.69,US,1731467441
507,nizhniy ingash,56.2,96.53,-8.32,70,100,6.08,RU,1731467497
508,al majaridah,19.1236,41.9111,25.48,68,7,0.37,SA,1731467371
509,rosa zarate,0.3333,-79.4667,22.7,74,92,1.11,EC,1731467499
510,roma,43.2128,-75.4557,0.06,74,0,0.45,US,1731467361
511,sao raimundo nonato,-9.0153,-42.6994,22.87,85,19,1.33,BR,1731467501
512,makurazaki,31.2667,130.3167,23.01,58,100,0.81,JP,1731467503
513,sainte-marie,-20.8968,55.5496,24.47,66,0,4.12,RE,1731467504
514,lawas,13.764,121.0566,29.7,72,50,2.48,PH,1731467505
515,chita,52.0333,113.55,-16.06,85,40,0.0,RU,1731467506
516,aberdeen,57.1437,-2.0981,3.27,93,47,1.03,GB,1731467507
517,altai,46.3722,96.2583,-3.27,61,20,10.95,MN,1731467508
518,pokhara,28.2333,83.9833,18.88,61,19,0.91,NP,1731467367
519,mournies,35.4764,24.0092,28.04,100,40,0.0,GR,1731467510
520,asino,56.9979,86.1452,-12.94,88,98,4.3,RU,1731467511
521,gafsa,34.425,8.7842,15.18,65,98,1.28,TN,1731467512
522,qandala,11.472,49.8728,24.46,71,5,1.04,SO,1731467515
523,maragogi,-9.0122,-35.2225,24.38,83,11,4.22,BR,1731467516
524,xiva,41.3783,60.3639,1.85,56,73,6.03,UZ,1731467517
525,torbat-e jam,35.244,60.6225,10.13,68,100,1.09,IR,1731467518
526,antofagasta,-23.65,-70.4,17.6,84,48,1.36,CL,1731467519
527,agat village,13.3886,144.6585,29.52,83,75,10.29,GU,1731467520
528,tailai,46.3833,123.4,5.5,38,0,5.52,CN,1731467521
529,bantogon,6.5333,124.0333,28.52,75,56,2.63,PH,1731467522
530,san luis de la loma,17.2706,-100.8939,26.13,85,99,1.53,MX,1731467523
531,igrim,63.1906,64.4162,-19.7,98,11,1.14,RU,1731467524
532,enna,37.5588,14.2892,11.96,96,100,2.85,IT,1731467525
533,puerto deseado,-47.7503,-65.8938,12.38,57,7,5.89,AR,1731467526
534,elista,46.3078,44.2558,1.29,80,14,6.0,RU,1731467527
535,ejutla de crespo,16.5667,-96.7333,17.48,73,100,1.13,MX,1731467528
536,al kharijah,25.4514,30.5464,15.63,70,1,3.82,EG,1731467529
537,at taj,24.2049,23.2857,14.35,47,0,4.46,LY,1731467530
538,ulsteinvik,62.3432,5.8487,11.84,90,100,4.02,NO,1731467532
539,ad dindar,13.2,34.1667,26.8,39,71,2.54,SD,1731467533
540,kizlyar,43.8469,46.715,4.74,70,65,3.96,RU,1731467534
541,santa cruz,-17.8,-63.1667,17.7,77,40,5.14,BO,1731467522
542,ati,13.2154,18.3353,24.93,19,5,4.78,TD,1731467536
543,corbeni,45.3,24.65,1.75,90,100,0.35,RO,1731467537
